S1_1,S1_2,S1_3,S1_4,S1_5,S1_6,S2_1,S2_2,S3_1,S3_2,S4_1,Nivel_agua,Nivel_total
1524.09365,1524.66971,1530.24917,1538.64137,1552.56282,1553.28112,1531.00144,1539.2587,1544.75284,1550.4292,1545.13994,257.0,257.0
1524.09462,1524.66991,1530.24882,1538.64102,1552.56258,1553.27929,1531.00121,1539.25942,1544.75221,1550.42964,1545.13986,257.0,257.0
1524.09354,1524.66945,1530.24944,1538.6416,1552.56282,1553.28029,1531.00156,1539.26027,1544.75229,1550.42918,1545.14015,257.0,257.0
1524.09347,1524.66944,1530.24826,1538.64125,1552.56284,1553.27826,1531.00122,1539.25977,1544.75168,1550.42823,1545.13988,257.0,257.0
1524.09439,1524.66995,1530.24934,1538.6418,1552.562,1553.28053,1531.00173,1539.25892,1544.75096,1550.42889,1545.13996,257.0,257.0
1524.09423,1524.66923,1530.24902,1538.64143,1552.56327,1553.28058,1531.00196,1539.25978,1544.7526,1550.42855,1545.14051,257.0,257.0
1524.09408,1524.66882,1530.24847,1538.64131,1552.56152,1553.28,1531.00085,1539.25979,1544.75137,1550.42871,1545.13933,257.0,257.0
1524.09325,1524.6687,1530.24863,1538.64197,1552.56263,1553.28042,1531.00188,1539.25954,1544.7521,1550.42887,1545.13952,257.0,257.0
1524.09346,1524.66777,1530.24839,1538.64159,1552.56221,1553.28032,1531.00188,1539.25963,1544.75226,1550.42909,1545.14009,257.0,257.0
1524.09295,1524.66841,1530.24879,1538.64227,1552.56175,1553.28067,1531.00167,1539.25991,1544.7513,1550.42895,1545.14059,257.0,257.0
1524.09359,1524.66874,1530.24816,1538.64165,1552.56316,1553.28066,1531.00234,1539.25984,1544.75224,1550.42895,1545.13904,257.0,257.0
1524.09384,1524.66936,1530.24857,1538.64208,1552.56221,1553.28043,1531.00213,1539.25972,1544.7513,1550.42861,1545.13966,257.0,257.0
1524.09372,1524.67004,1530.24929,1538.64134,1552.56263,1553.28055,1531.00203,1539.25941,1544.75198,1550.42915,1545.14021,257.0,257.0
1524.09347,1524.66991,1530.24859,1538.64138,1552.56232,1553.2813,1531.00185,1539.25956,1544.75197,1550.42822,1545.13957,257.0,257.0
1524.09367,1524.66892,1530.24975,1538.64144,1552.56239,1553.2801,1531.00251,1539.25989,1544.75314,1550.42859,1545.1396,257.0,257.0
1524.0944,1524.67007,1530.24887,1538.64175,1552.56259,1553.28001,1531.00285,1539.25921,1544.7525,1550.42817,1545.14045,257.0,257.0
1524.09395,1524.66951,1530.24876,1538.64154,1552.56202,1553.28027,1531.00173,1539.26105,1544.75297,1550.42853,1545.13963,257.0,257.0
1524.09563,1524.66856,1530.24825,1538.64177,1552.56352,1553.28008,1531.00304,1539.26023,1544.75302,1550.42897,1545.13992,257.0,257.0
1524.09338,1524.66881,1530.24909,1538.64198,1552.56329,1553.28079,1531.0023,1539.26009,1544.752,1550.42836,1545.14,257.0,257.0
1524.09441,1524.66907,1530.24882,1538.64196,1552.56323,1553.27996,1531.00279,1539.26023,1544.75183,1550.42855,1545.14008,257.0,257.0
1524.09357,1524.66917,1530.24843,1538.6417,1552.56325,1553.28029,1531.00291,1539.25982,1544.7527,1550.4283,1545.14062,257.0,257.0
1524.09372,1524.66853,1530.24922,1538.64196,1552.56257,1553.28022,1531.00289,1539.2585,1544.75161,1550.42857,1545.1397,257.0,257.0
1524.09379,1524.66767,1530.24829,1538.64203,1552.56463,1553.28067,1531.00329,1539.25931,1544.75167,1550.42851,1545.1397,257.0,257.0
1524.0927,1524.66897,1530.2491,1538.64233,1552.56319,1553.28098,1531.00328,1539.26134,1544.7522,1550.42875,1545.14045,257.0,257.0
1524.09484,1524.66838,1530.24927,1538.64149,1552.5648,1553.28103,1531.00375,1539.2601,1544.75202,1550.42766,1545.14053,257.0,257.0
1524.09472,1524.66805,1530.2492,1538.64149,1552.56317,1553.28102,1531.00291,1539.26048,1544.75175,1550.42729,1545.13923,257.0,257.0
1524.09398,1524.66799,1530.24951,1538.64176,1552.56357,1553.28124,1531.0029,1539.26131,1544.75222,1550.42751,1545.13959,257.0,257.0
